date,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,kawasaki-frontale,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,gamba-osaka,vissel-kobe,omiya-ardija,jubilo-iwata,consadole-sapporo,shimizu-s-pulse,cerezo-osaka
2017-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-26,-1,-1,1,2,0,0,1,2,1,-2,0,0,1,-2,0,-1,-1,0
2017-02-27,-1,-1,1,2,0,0,1,2,1,-2,0,0,1,-2,0,-1,-1,0
2017-02-28,-1,-1,1,2,0,0,1,2,1,-2,0,0,1,-2,0,-1,-1,0
2017-03-01,-1,-1,1,2,0,0,1,2,1,-2,0,0,1,-2,0,-1,-1,0
2017-03-02,-1,-1,1,2,0,0,1,2,1,-2,0,0,1,-2,0,-1,-1,0
2017-03-03,-1,-1,1,2,0,0,1,2,1,-2,0,0,1,-2,0,-1,-1,0
2017-03-04,-1,-1,1,2,0,0,1,2,1,-2,0,0,1,-2,0,-1,-1,0
2017-03-05,0,1,4,2,-1,-1,2,2,3,-2,-1,0,2,-4,-1,-4,0,-2
2017-03-06,0,1,4,2,-1,-1,2,0,3,-2,-1,2,2,-4,-1,-4,0,-2
2017-03-07,0,1,4,2,-1,-1,2,0,3,-2,-1,2,2,-4,-1,-4,0,-2
2017-03-08,0,1,4,2,-1,-1,2,0,3,-2,-1,2,2,-4,-1,-4,0,-2
2017-03-09,0,1,4,2,-1,-1,2,0,3,-2,-1,2,2,-4,-1,-4,0,-2
2017-03-10,0,1,4,2,-1,-1,2,0,3,-2,-1,2,2,-4,-1,-4,0,-2
2017-03-11,1,4,3,3,-1,-1,2,-1,3,-2,-4,2,2,-4,-1,-4,0,-2
2017-03-12,1,4,3,3,-3,-2,0,-1,0,-1,-4,5,4,-5,0,-4,2,-2
2017-03-13,1,4,3,3,-3,-2,0,-1,0,-1,-4,5,4,-5,0,-4,2,-2
2017-03-14,1,4,3,3,-3,-2,0,-1,0,-1,-4,5,4,-5,0,-4,2,-2
