,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,jubilo-iwata,kawasaki-frontale,omiya-ardija,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,cerezo-osaka,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,shonan-bellmare,oita-trinita
2013-03-02,1536,1514,1550,1507,1578,1480,1516,1494,1477,1564,1543,1490,1535,1440,1466,1433,1433,1433
2013-03-03,1535,1523,1555,1507,1576,1482,1516,1495,1469,1555,1540,1498,1535,1447,1468,1436,1428,1426
2013-03-04,1535,1523,1555,1507,1576,1482,1508,1495,1469,1555,1540,1498,1543,1447,1468,1436,1428,1426
2013-03-05,1535,1523,1555,1507,1576,1482,1508,1495,1469,1555,1540,1498,1543,1447,1468,1436,1428,1426
2013-03-06,1535,1523,1555,1507,1576,1482,1508,1495,1469,1555,1540,1498,1543,1447,1468,1436,1428,1426
2013-03-07,1535,1523,1555,1507,1576,1482,1508,1495,1469,1555,1540,1498,1543,1447,1468,1436,1428,1426
2013-03-08,1535,1523,1555,1507,1576,1482,1508,1495,1469,1555,1540,1498,1543,1447,1468,1436,1428,1426
2013-03-09,1535,1523,1555,1507,1576,1482,1508,1495,1469,1555,1540,1498,1543,1447,1468,1436,1428,1426
2013-03-10,1543,1532,1562,1500,1566,1475,1507,1502,1463,1561,1532,1504,1532,1458,1467,1429,1429,1427
2013-03-11,1543,1532,1562,1500,1566,1475,1507,1502,1463,1561,1532,1504,1532,1458,1467,1429,1429,1427
2013-03-12,1543,1532,1562,1500,1566,1475,1507,1502,1463,1561,1532,1504,1532,1458,1467,1429,1429,1427
2013-03-13,1543,1532,1562,1500,1566,1475,1507,1502,1463,1561,1532,1504,1532,1458,1467,1429,1429,1427
2013-03-14,1543,1532,1562,1500,1566,1475,1507,1502,1463,1561,1532,1504,1532,1458,1467,1429,1429,1427
2013-03-15,1543,1532,1562,1500,1566,1475,1507,1502,1463,1561,1532,1504,1532,1458,1467,1429,1429,1427
2013-03-16,1543,1532,1562,1500,1566,1475,1507,1502,1463,1561,1532,1504,1532,1458,1467,1429,1429,1427
2013-03-17,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-18,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-19,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-20,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-21,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-22,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-23,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-24,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-25,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-26,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-27,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-28,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-29,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-30,1543,1530,1568,1499,1571,1469,1498,1501,1464,1561,1540,1511,1524,1451,1476,1424,1431,1430
2013-03-31,1534,1537,1573,1492,1576,1469,1496,1510,1458,1567,1539,1512,1530,1445,1476,1426,1426,1424
2013-04-01,1534,1537,1573,1492,1576,1469,1496,1510,1458,1567,1539,1512,1530,1445,1476,1426,1426,1424
2013-04-02,1534,1537,1573,1492,1576,1469,1496,1510,1458,1567,1539,1512,1530,1445,1476,1426,1426,1424
2013-04-03,1534,1537,1573,1492,1576,1469,1496,1510,1458,1567,1539,1512,1530,1445,1476,1426,1426,1424
2013-04-04,1534,1537,1573,1492,1576,1469,1496,1510,1458,1567,1539,1512,1530,1445,1476,1426,1426,1424
2013-04-05,1534,1537,1573,1492,1576,1469,1496,1510,1458,1567,1539,1512,1530,1445,1476,1426,1426,1424
2013-04-06,1534,1537,1573,1492,1576,1469,1496,1510,1458,1567,1539,1512,1530,1445,1476,1426,1426,1424
2013-04-07,1542,1543,1581,1500,1575,1462,1494,1517,1468,1559,1530,1505,1531,1439,1468,1434,1427,1416
2013-04-08,1542,1543,1581,1500,1575,1462,1494,1517,1468,1559,1530,1505,1531,1439,1468,1434,1427,1416
2013-04-09,1542,1543,1581,1500,1575,1462,1494,1517,1468,1559,1530,1505,1531,1439,1468,1434,1427,1416
2013-04-10,1542,1543,1581,1500,1575,1462,1494,1517,1468,1559,1530,1505,1531,1439,1468,1434,1427,1416
2013-04-11,1542,1543,1581,1500,1575,1462,1494,1517,1468,1559,1530,1505,1531,1439,1468,1434,1427,1416
2013-04-12,1542,1543,1581,1500,1575,1462,1494,1517,1468,1559,1530,1505,1531,1439,1468,1434,1427,1416
2013-04-13,1542,1543,1581,1500,1575,1462,1494,1517,1468,1559,1530,1505,1531,1439,1468,1434,1427,1416
2013-04-14,1547,1543,1587,1507,1581,1455,1488,1525,1462,1559,1535,1497,1521,1433,1468,1444,1427,1411
2013-04-15,1547,1549,1587,1507,1581,1455,1488,1525,1462,1565,1535,1497,1521,1433,1462,1444,1422,1411
2013-04-16,1547,1549,1587,1507,1581,1455,1488,1525,1462,1565,1535,1497,1521,1433,1462,1444,1422,1411
2013-04-17,1547,1549,1587,1507,1581,1455,1488,1525,1462,1565,1535,1497,1521,1433,1462,1444,1422,1411
2013-04-18,1547,1549,1587,1507,1581,1455,1488,1525,1462,1565,1535,1497,1521,1433,1462,1444,1422,1411
2013-04-19,1547,1549,1587,1507,1581,1455,1488,1525,1462,1565,1535,1497,1521,1433,1462,1444,1422,1411
